MATLAB index,fpga,bank_index,in_bank_index,x,y
384,2,0,32,24.999999999999993,-95.26279441628824
385,2,0,33,34.99999999999999,-95.26279441628824
386,2,0,34,44.99999999999999,-95.26279441628824
387,2,0,35,54.99999999999999,-95.26279441628824
388,1,0,232,59.99999999999999,-86.60254037844385
389,1,0,224,65.0,-77.94228634059947
390,1,0,216,70.0,-69.28203230275508
391,1,0,208,75.0,-60.6217782649107
392,1,0,200,80.0,-51.96152422706631
393,1,0,192,85.0,-43.301270189221924
394,1,0,184,90.0,-34.64101615137754
395,1,0,176,95.0,-25.980762113533157
396,1,0,168,100.0,-17.32050807568877
397,1,0,160,105.0,-8.660254037844386
398,1,0,151,120.0,0.0
399,1,0,144,115.0,8.660254037844386
400,1,0,145,110.0,17.32050807568877
401,1,0,146,105.0,25.980762113533157
402,1,0,147,100.0,34.64101615137754
403,1,0,28,95.0,43.301270189221924
404,1,0,29,90.0,51.96152422706631
405,1,0,30,85.0,60.6217782649107
406,1,0,31,80.0,69.28203230275508
407,1,0,24,75.0,77.94228634059947
408,1,0,25,70.0,86.60254037844385
409,1,0,26,65.0,95.26279441628824
410,1,0,27,60.000000000000014,103.92304845413263
411,0,0,239,50.000000000000014,103.92304845413263
412,0,0,231,40.000000000000014,103.92304845413263
413,0,0,223,30.000000000000014,103.92304845413263
414,0,0,215,20.000000000000014,103.92304845413263
415,0,0,207,10.000000000000014,103.92304845413263
416,0,0,199,1.4210854715202004e-14,103.92304845413263
417,0,0,191,-9.999999999999986,103.92304845413263
418,0,0,183,-19.999999999999986,103.92304845413263
419,0,0,175,-29.999999999999986,103.92304845413263
420,0,0,167,-39.999999999999986,103.92304845413263
421,0,0,159,-49.999999999999986,103.92304845413263
422,0,0,151,-59.999999999999986,103.92304845413263
423,0,0,144,-65.0,95.26279441628824
424,0,0,145,-70.0,86.60254037844385
425,0,0,146,-75.0,77.94228634059947
426,0,0,147,-80.0,69.28203230275508
427,0,0,28,-85.0,60.6217782649107
428,0,0,29,-90.0,51.96152422706631
429,0,0,30,-95.0,43.301270189221924
430,0,0,31,-100.0,34.64101615137754
431,0,0,24,-105.0,25.980762113533157
432,0,0,25,-110.0,17.32050807568877
433,0,0,26,-115.0,8.660254037844386
434,0,0,27,-120.0,0.0
435,2,0,239,-115.0,-8.660254037844386
436,2,0,231,-110.0,-17.32050807568877
437,2,0,223,-105.0,-25.980762113533157
438,2,0,215,-100.0,-34.64101615137754
439,2,0,207,-95.0,-43.301270189221924
440,2,0,199,-90.0,-51.96152422706631
441,2,0,191,-85.0,-60.6217782649107
442,2,0,183,-80.0,-69.28203230275508
443,2,0,175,-75.0,-77.94228634059947
444,2,0,167,-70.0,-86.60254037844385
445,2,0,159,-65.0,-95.26279441628824
446,2,0,151,-60.000000000000014,-103.92304845413263
447,2,0,144,-50.000000000000014,-103.92304845413263
448,2,0,145,-40.000000000000014,-103.92304845413263
449,2,0,146,-30.000000000000014,-103.92304845413263
450,2,0,147,-20.000000000000014,-103.92304845413263
451,2,0,28,-10.000000000000014,-103.92304845413263
452,2,0,29,-1.4210854715202004e-14,-103.92304845413263
453,2,0,30,9.999999999999986,-103.92304845413263
454,2,0,31,19.999999999999986,-103.92304845413263
455,2,0,24,29.999999999999986,-103.92304845413263
456,2,0,25,39.999999999999986,-103.92304845413263
457,2,0,26,49.999999999999986,-103.92304845413263
458,2,0,27,59.999999999999986,-103.92304845413263
459,1,0,239,65.0,-95.26279441628824
460,1,0,231,70.0,-86.60254037844385
461,1,0,223,75.0,-77.94228634059947
462,1,0,215,80.0,-69.28203230275508
463,1,0,207,85.0,-60.6217782649107
464,1,0,199,90.0,-51.96152422706631
465,1,0,191,95.0,-43.301270189221924
466,1,0,183,100.0,-34.64101615137754
467,1,0,175,105.0,-25.980762113533157
468,1,0,167,110.0,-17.32050807568877
469,1,0,159,115.0,-8.660254037844386
470,1,0,142,130.0,0.0
471,1,0,143,125.0,8.660254037844386
472,1,0,136,120.0,17.32050807568877
473,1,0,137,115.0,25.980762113533157
474,1,0,138,110.0,34.64101615137754
475,1,0,139,105.0,43.301270189221924
476,1,0,20,100.0,51.96152422706631
477,1,0,21,95.0,60.6217782649107
478,1,0,22,90.0,69.28203230275508
479,1,0,23,85.0,77.94228634059947
480,1,0,16,80.0,86.60254037844385
481,1,0,17,75.0,95.26279441628824
